2023-08-05_17-07-28: DF Exception: Sub: R1004D, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-29: DF Exception: Sub: R1067P, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-29: DF Exception: Sub: R1067P, Sess: 1, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-29: DF Exception: Sub: R1083J, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-29: DF Exception: Sub: R1086M, Sess: 0, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1086M_0_HPC_encoding_soz_in_hamming.p', file: ripples_HFA_general.py, line no: 216
2023-08-05_17-07-29: DF Exception: Sub: R1089P, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-29: DF Exception: Sub: R1102P, Sess: 0, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1102P_0_HPC_encoding_soz_in_hamming.p', file: ripples_HFA_general.py, line no: 216
2023-08-05_17-07-29: DF Exception: Sub: R1102P, Sess: 1, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1102P_1_HPC_encoding_soz_in_hamming.p', file: ripples_HFA_general.py, line no: 216
2023-08-05_17-07-29: DF Exception: Sub: R1105E, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-30: DF Exception: Sub: R1108J, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-30: DF Exception: Sub: R1108J, Sess: 1, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-30: DF Exception: Sub: R1108J, Sess: 2, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-30: DF Exception: Sub: R1108J, Sess: 3, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-30: DF Exception: Sub: R1112M, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-30: DF Exception: Sub: R1131M, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-30: DF Exception: Sub: R1138T, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-30: DF Exception: Sub: R1138T, Sess: 1, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-30: DF Exception: Sub: R1144E, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-30: DF Exception: Sub: R1144E, Sess: 1, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-30: DF Exception: Sub: R1144E, Sess: 2, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-30: DF Exception: Sub: R1147P, Sess: 0, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1147P_0_HPC_encoding_soz_in_hamming.p', file: ripples_HFA_general.py, line no: 216
2023-08-05_17-07-30: DF Exception: Sub: R1157C, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-30: DF Exception: Sub: R1157C, Sess: 1, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-30: DF Exception: Sub: R1157C, Sess: 2, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1157C_2_HPC_encoding_soz_in_hamming.p', file: ripples_HFA_general.py, line no: 216
2023-08-05_17-07-30: DF Exception: Sub: R1158T, Sess: 0, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1158T_0_HPC_encoding_soz_in_hamming.p', file: ripples_HFA_general.py, line no: 216
2023-08-05_17-07-30: DF Exception: Sub: R1167M, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-30: DF Exception: Sub: R1171M, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-30: DF Exception: Sub: R1174T, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-30: DF Exception: Sub: R1176M, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-30: DF Exception: Sub: R1180C, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-30: DF Exception: Sub: R1180C, Sess: 1, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-30: DF Exception: Sub: R1180C, Sess: 2, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-30: DF Exception: Sub: R1188C, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-30: DF Exception: Sub: R1190P, Sess: 0, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1190P_0_HPC_encoding_soz_in_hamming.p', file: ripples_HFA_general.py, line no: 216
2023-08-05_17-07-30: DF Exception: Sub: R1190P, Sess: 1, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1190P_1_HPC_encoding_soz_in_hamming.p', file: ripples_HFA_general.py, line no: 216
2023-08-05_17-07-30: DF Exception: Sub: R1192C, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-30: DF Exception: Sub: R1192C, Sess: 1, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-30: DF Exception: Sub: R1192C, Sess: 2, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-30: DF Exception: Sub: R1204T, Sess: 0, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1204T_0_HPC_encoding_soz_in_hamming.p', file: ripples_HFA_general.py, line no: 216
2023-08-05_17-07-30: DF Exception: Sub: R1207J, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-30: DF Exception: Sub: R1207J, Sess: 1, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-30: DF Exception: Sub: R1207J, Sess: 2, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-30: DF Exception: Sub: R1207J, Sess: 3, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-30: DF Exception: Sub: R1217T, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-30: DF Exception: Sub: R1221P, Sess: 0, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1221P_0_HPC_encoding_soz_in_hamming.p', file: ripples_HFA_general.py, line no: 216
2023-08-05_17-07-30: DF Exception: Sub: R1221P, Sess: 1, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1221P_1_HPC_encoding_soz_in_hamming.p', file: ripples_HFA_general.py, line no: 216
2023-08-05_17-07-30: DF Exception: Sub: R1221P, Sess: 2, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1221P_2_HPC_encoding_soz_in_hamming.p', file: ripples_HFA_general.py, line no: 216
2023-08-05_17-07-30: DF Exception: Sub: R1227T, Sess: 0, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1227T_0_HPC_encoding_soz_in_hamming.p', file: ripples_HFA_general.py, line no: 216
2023-08-05_17-07-30: DF Exception: Sub: R1230J, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-30: DF Exception: Sub: R1236J, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-30: DF Exception: Sub: R1236J, Sess: 2, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-30: DF Exception: Sub: R1236J, Sess: 3, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-30: DF Exception: Sub: R1239E, Sess: 1, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-30: DF Exception: Sub: R1240T, Sess: 0, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1240T_0_HPC_encoding_soz_in_hamming.p', file: ripples_HFA_general.py, line no: 216
2023-08-05_17-07-30: DF Exception: Sub: R1243T, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-30: DF Exception: Sub: R1243T, Sess: 1, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1243T_1_HPC_encoding_soz_in_hamming.p', file: ripples_HFA_general.py, line no: 216
2023-08-05_17-07-30: DF Exception: Sub: R1243T, Sess: 2, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1243T_2_HPC_encoding_soz_in_hamming.p', file: ripples_HFA_general.py, line no: 216
2023-08-05_17-07-30: DF Exception: Sub: R1243T, Sess: 3, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-30: DF Exception: Sub: R1245E, Sess: 0, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1245E_0_HPC_encoding_soz_in_hamming.p', file: ripples_HFA_general.py, line no: 216
2023-08-05_17-07-30: DF Exception: Sub: R1254E, Sess: 0, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1254E_0_HPC_encoding_soz_in_hamming.p', file: ripples_HFA_general.py, line no: 216
2023-08-05_17-07-30: DF Exception: Sub: R1264P, Sess: 0, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1264P_0_HPC_encoding_soz_in_hamming.p', file: ripples_HFA_general.py, line no: 216
2023-08-05_17-07-30: DF Exception: Sub: R1264P, Sess: 1, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1264P_1_HPC_encoding_soz_in_hamming.p', file: ripples_HFA_general.py, line no: 216
2023-08-05_17-07-30: DF Exception: Sub: R1269E, Sess: 0, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1269E_0_HPC_encoding_soz_in_hamming.p', file: ripples_HFA_general.py, line no: 216
2023-08-05_17-07-30: DF Exception: Sub: R1269E, Sess: 1, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-30: DF Exception: Sub: R1269E, Sess: 2, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-30: DF Exception: Sub: R1269E, Sess: 3, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1269E_3_HPC_encoding_soz_in_hamming.p', file: ripples_HFA_general.py, line no: 216
2023-08-05_17-07-30: DF Exception: Sub: R1275D, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-30: DF Exception: Sub: R1278E, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-30: DF Exception: Sub: R1278E, Sess: 10, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1278E_10_HPC_encoding_soz_in_hamming.p', file: ripples_HFA_general.py, line no: 216
2023-08-05_17-07-30: DF Exception: Sub: R1291M, Sess: 0, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1291M_0_HPC_encoding_soz_in_hamming.p', file: ripples_HFA_general.py, line no: 216
2023-08-05_17-07-30: DF Exception: Sub: R1291M, Sess: 1, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-30: DF Exception: Sub: R1293P, Sess: 1, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1293P_1_HPC_encoding_soz_in_hamming.p', file: ripples_HFA_general.py, line no: 216
2023-08-05_17-07-30: DF Exception: Sub: R1303E, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1310J, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1313J, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1315T, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1320D, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1320D, Sess: 1, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1320D, Sess: 2, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1320D_2_HPC_encoding_soz_in_hamming.p', file: ripples_HFA_general.py, line no: 216
2023-08-05_17-07-31: DF Exception: Sub: R1328E, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1328E, Sess: 2, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1328E, Sess: 3, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1328E_3_HPC_encoding_soz_in_hamming.p', file: ripples_HFA_general.py, line no: 216
2023-08-05_17-07-31: DF Exception: Sub: R1328E, Sess: 4, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1330D, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1330D, Sess: 1, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1332M, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1332M, Sess: 1, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1334T, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1337E, Sess: 0, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1337E_0_HPC_encoding_soz_in_hamming.p', file: ripples_HFA_general.py, line no: 216
2023-08-05_17-07-31: DF Exception: Sub: R1337E, Sess: 1, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1337E_1_HPC_encoding_soz_in_hamming.p', file: ripples_HFA_general.py, line no: 216
2023-08-05_17-07-31: DF Exception: Sub: R1338T, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1343J, Sess: 1, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1347D, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1347D, Sess: 1, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1347D, Sess: 2, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1348J, Sess: 1, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1354E, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1354E, Sess: 1, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1354E, Sess: 2, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1354E, Sess: 3, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1361C, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1361C, Sess: 1, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1361C_1_HPC_encoding_soz_in_hamming.p', file: ripples_HFA_general.py, line no: 216
2023-08-05_17-07-31: DF Exception: Sub: R1361C, Sess: 2, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1366J, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1367D, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1368T, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1372C, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1372C, Sess: 1, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1372C, Sess: 2, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1374T, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1374T, Sess: 1, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1377M, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1377M, Sess: 6, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1379E, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1379E, Sess: 1, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1380D, Sess: 1, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1380D, Sess: 2, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1380D, Sess: 3, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1380D, Sess: 4, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1381T, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1382T, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1383J, Sess: 1, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1383J, Sess: 2, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1383J, Sess: 3, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1383J, Sess: 4, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1383J_4_HPC_encoding_soz_in_hamming.p', file: ripples_HFA_general.py, line no: 216
2023-08-05_17-07-31: DF Exception: Sub: R1385E, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1385E, Sess: 1, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1386T, Sess: 1, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1387E, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1387E, Sess: 1, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1388T, Sess: 0, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1388T_0_HPC_encoding_soz_in_hamming.p', file: ripples_HFA_general.py, line no: 216
2023-08-05_17-07-31: DF Exception: Sub: R1388T, Sess: 1, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1388T_1_HPC_encoding_soz_in_hamming.p', file: ripples_HFA_general.py, line no: 216
2023-08-05_17-07-31: DF Exception: Sub: R1393T, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1393T, Sess: 1, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-31: DF Exception: Sub: R1393T, Sess: 2, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1393T_2_HPC_encoding_soz_in_hamming.p', file: ripples_HFA_general.py, line no: 216
2023-08-05_17-07-32: DF Exception: Sub: R1395M, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-32: DF Exception: Sub: R1395M, Sess: 1, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-32: DF Exception: Sub: R1395M, Sess: 2, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-32: DF Exception: Sub: R1395M, Sess: 3, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-32: DF Exception: Sub: R1395M, Sess: 4, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-32: DF Exception: Sub: R1395M, Sess: 5, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-32: DF Exception: Sub: R1395M, Sess: 6, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-32: DF Exception: Sub: R1396T, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-32: DF Exception: Sub: R1397D, Sess: 1, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-32: DF Exception: Sub: R1397D, Sess: 3, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-32: DF Exception: Sub: R1398J, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-32: DF Exception: Sub: R1398J, Sess: 1, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-32: DF Exception: Sub: R1404E, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-32: DF Exception: Sub: R1404E, Sess: 1, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-32: DF Exception: Sub: R1405E, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
